GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
baseProject-domain,com.eolivenza.modules.baseProject.domain.model.categories,Category,23,0,0,0,10,0,5,0,5,0
baseProject-domain,com.eolivenza.modules.baseProject.domain.model.user,UserRights,24,0,0,0,3,0,1,0,1,0
baseProject-domain,com.eolivenza.modules.baseProject.domain.model.user,User,63,0,0,0,22,0,14,0,14,0
baseProject-domain,com.eolivenza.modules.baseProject.domain.model.suppliers,Supplier,56,0,0,0,22,0,11,0,11,0
baseProject-domain,com.eolivenza.modules.baseProject.domain,Validateable,9,0,0,0,4,0,2,0,2,0
baseProject-domain,com.eolivenza.modules.baseProject.domain,ValidatorWrapper,26,0,2,0,8,0,5,0,4,0
baseProject-domain,com.eolivenza.modules.baseProject.domain.model.products,Product,95,0,4,0,31,0,18,0,16,0
baseProject-domain,com.eolivenza.modules.baseProject.domain.model.products,AvailableProduct,36,0,2,0,14,0,5,0,4,0
baseProject-domain,com.eolivenza.modules.baseProject.domain.model,Entity,18,0,4,0,3,0,5,0,3,0
baseProject-domain,com.eolivenza.modules.baseProject.domain.model,ValueObject,18,0,4,0,3,0,5,0,3,0
baseProject-domain,com.eolivenza.modules.baseProject.domain.model,ModelValidationException,41,0,0,0,9,0,4,0,4,0
baseProject-domain,com.eolivenza.modules.baseProject.domain.model,ModelObject,21,0,6,0,3,0,6,0,3,0
