GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
baseProject-runtime,com.eolivenza.modules.baseProject.configuration.persistence.jpa_repositories,DomainJpaRepositoriesConfiguration,0,3,0,0,0,1,0,1,0,1
baseProject-runtime,com.eolivenza.modules.baseProject.configuration.security.config,CSRFConfiguration,3,7,0,0,1,3,1,2,1,2
baseProject-runtime,com.eolivenza.modules.baseProject.configuration,QueryHandlerConfiguration,0,8,0,0,0,2,0,2,0,2
baseProject-runtime,com.eolivenza.modules.baseProject.configuration,ConfigurationRoot,0,3,0,0,0,1,0,1,0,1
baseProject-runtime,com.eolivenza.modules.baseProject.configuration,SwaggerUIConfiguration,0,127,0,0,0,21,0,5,0,5
baseProject-runtime,com.eolivenza.modules.baseProject.configuration,CommandHandlerConfiguration,0,3,0,0,0,1,0,1,0,1
baseProject-runtime,com.eolivenza.modules.baseProject.configuration,WebRestControllerAdvice,69,7,0,0,18,3,5,1,5,1
baseProject-runtime,com.eolivenza.modules.baseProject.properties.hibernate,HibernateFormatSql,37,0,0,0,7,0,3,0,3,0
baseProject-runtime,com.eolivenza.modules.baseProject.properties.hibernate,HibernateShowSql,37,0,0,0,7,0,3,0,3,0
baseProject-runtime,com.eolivenza.modules.baseProject.properties.hibernate,HibernateUseSqlComments,37,0,0,0,7,0,3,0,3,0
baseProject-runtime,com.eolivenza.modules.baseProject.properties.hibernate,HibernateHqlBulkIdStrategy,0,59,0,0,0,9,0,3,0,3
baseProject-runtime,com.eolivenza.modules.baseProject.configuration.persistence.datasources,DomainDataSourceConfiguration,0,11,0,0,0,3,0,3,0,3
baseProject-runtime,com.eolivenza.modules.baseProject.properties.jpa,JavaxPersistenceSchemaGenerationDatabaseAction,0,59,0,0,0,6,0,3,0,3
baseProject-runtime,com.eolivenza.modules.baseProject.configuration.persistence,CustomCache71Dialect,12,0,0,0,2,0,2,0,2,0
baseProject-runtime,com.eolivenza.modules.baseProject.configuration.persistence,CustomCache71Dialect.new IdTableSupportStandardImpl() {...},23,0,2,0,4,0,4,0,3,0
baseProject-runtime,com.eolivenza.modules.baseProject,Application,5,3,0,0,2,1,1,1,1,1
baseProject-runtime,com.eolivenza.modules.baseProject.configuration.persistence.databases,DomainDatabaseConfiguration,64,58,0,0,13,14,2,5,2,5
baseProject-runtime,com.eolivenza.modules.baseProject.configuration.security,JasyptConfiguration,0,37,0,0,0,12,0,2,0,2
baseProject-runtime,com.eolivenza.modules.baseProject.configuration.security,WebConfig,0,34,0,0,0,6,0,2,0,2
